"","par1","par2","par3","par4","par5","par6","par7","par8","par9","part10","par11","par12","meanGroup","facesDisplayTime","maskTime","groupChoice","id","trial","faceIdentity","SD","realSD","rating","rt","image","condition","condition1","music.rock","music.pop","live.city","live.town","eat.icecream","eat.hamburger","time.beach","time.pool","pet.cat","pat.dog","X30","threatSimilar","threatDifferent","immoralSimilar","immoralDifferent","selectionPrinciple","selectionNoWhy","selectionYesWhy","groupPrecentEstimate","iden1","iden2","iden3","iden4","iden5","ntb1","ntb2","ntb3","ntb4","ntb5","ntb6","ntb7","ntb8","ntb9","ntb10","enviroDifRace","enviroDifSes","enviroDifPoli","sd1","sd2","sd3","sd4","sd5","sd6","sd7","sd8","sd9","sd10","sd11","bigFiveExtraverted","bigFiveCritical","bigFiveCons","bigFiveNeuro","bigFiveOpen","bigFiveReserved","bigFiveWarm","bigFiveCareless","bigFiveCalm","bigFiceConventional","poli","age","sex","citizen","citizenText","liveUS","yearsUS","partUS","partUSText","black","latin","white","asian","other","edu","income","identscale","condition_bi","condition_biEffect"
"855",135,148,127,139,150,148,125,128,150,150,134,145,139.917,1.99728,0.000785457,0,26,45,1,1,9.78364,140,1.82094,15,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"856",118,136,122,128,124,142,144,140,116,138,120,132,130,1.98423,0.000200712,1,26,47,2,1,9.9453,140,1.96731,8,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"857",134,130,140,118,120,138,124,126,142,122,144,146,132,1.99239,0.00036322,0,26,48,2,1,9.9453,132,1.97581,28,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"858",148,127,128,125,139,135,134,148,150,150,145,150,139.917,1.98586,0.000495793,0,26,49,2,1,9.78364,140,2.43243,44,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"859",142,138,116,144,128,122,136,124,120,132,118,140,130,1.99807,0.000256592,1,26,50,4,1,9.9453,140,1.8869,21,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"860",128,134,127,148,135,150,148,125,150,139,145,150,139.917,1.98806,0.000199001,0,26,2,2,1,9.78364,140,2.11357,9,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"861",148,125,150,128,145,127,150,135,150,134,148,139,139.917,1.99441,0.000291089,0,26,3,3,1,9.78364,140,3.32423,24,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"862",136,132,142,138,124,120,144,140,116,118,128,122,130,1.98564,0.00066942,1,26,4,1,1,9.9453,140,1.69906,10,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
"863",127,150,150,134,125,139,150,145,148,135,148,128,139.917,2.00021,0.000242907,1,26,5,3,1,9.78364,140,1.45124,41,"same","same",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Same Mean",-1
"864",128,138,124,144,122,116,118,142,120,132,136,140,130,1.98672,0.000221809,1,26,6,2,1,9.9453,140,1.74791,46,"low","low",NA,1,NA,1,1,NA,1,NA,1,NA,NA,14,19,16,17,2,NA,"I tried to pick emotional ratings either similar to mine or ones that I could see the rationale of",20,13,14,15,13,14,3,2,2,3,4,2,4,3,2,4,40,30,10,1,1,2,1,2,1,2,2,1,1,2,3,6,7,3,3,3,3,5,3,3,2,18,"female",1,NA,1,"n/a",3,"Midwest",1,0,0,0,0,3,5,0.800000000000001,"Different Mean",1
